Student_ID,Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
62.0,20.6,1,39191.0,1,4.55,81.8,3.0,40.2,1,1,3.7,2.03,2.3,2.32,1,4,3,0.0
63.0,18.6,1,25000.0,1,6.55,100.0,0.0,15.5,1,1,5.8,3.17,3.13,3.13,0,3,0,0.0
64.0,18.4,1,25000.0,1,4.7,82.1,1.0,20.9,0,0,6.6,1.52,1.68,1.71,2,3,3,0.0
65.0,22.8,0,32151.0,0,4.76,85.6,1.0,13.9,0,0,6.6,1.55,1.61,1.63,1,0,1,0.0
66.0,24.0,1,31286.0,1,3.03,74.1,2.0,35.1,0,1,4.5,3.64,3.06,3.04,3,2,0,0.0
67.0,20.8,1,37293.0,1,2.76,87.8,0.0,31.5,0,0,5.2,3.64,3.63,3.68,3,4,0,0.0
68.0,23.2,1,38801.0,1,2.72,93.0,2.0,10.8,1,0,6.8,4.0,4.0,4.0,2,0,1,0.0
69.0,21.8,1,36430.0,1,3.61,80.8,1.0,22.2,0,0,4.5,1.9,1.48,1.48,0,3,2,0.0
70.0,19.6,0,33396.0,1,4.08,86.9,4.0,33.7,0,0,3.9,2.82,2.97,2.97,0,3,3,0.0
71.0,21.8,0,30744.0,1,4.28,86.6,3.0,31.4,0,1,4.3,2.02,2.32,2.28,3,1,0,0.0
72.0,24.4,0,44305.0,1,2.94,82.6,1.0,44.5,0,0,4.4,3.87,3.54,3.55,2,2,0,0.0
73.0,20.9,0,25000.0,1,1.09,92.3,1.0,16.2,1,0,5.6,2.5,2.33,2.33,0,0,0,0.0
75.0,17.0,1,25000.0,0,5.22,75.0,1.0,18.0,0,0,5.2,4.0,4.0,3.97,3,2,2,0.0
76.0,22.8,1,25000.0,1,3.51,82.0,2.0,31.3,1,0,4.1,2.35,2.56,2.52,1,4,0,0.0
77.0,21.2,0,29740.5,1,4.0,79.0,2.0,27.8,0,0,5.5,3.72,3.67,3.59,2,4,0,0.0
79.0,21.2,1,25000.0,1,4.16,76.1,2.0,25.1,0,0,6.1,0.7,1.08,1.27,3,3,1,0.0
80.0,17.0,0,29235.0,1,4.53,65.0,0.0,39.1,0,1,4.7,1.57,1.17,1.17,0,2,1,0.0
81.0,20.5,1,29740.5,0,4.0,79.4,2.0,21.4,0,0,5.5,2.06,1.85,1.85,0,2,2,0.0
82.0,21.8,1,53998.0,1,5.25,87.7,1.0,17.8,0,0,7.7,0.87,0.76,0.76,0,2,2,0.0
83.0,24.3,1,25000.0,1,5.56,82.4,2.0,32.7,0,1,5.4,0.83,0.86,0.89,2,3,0,0.0
84.0,19.9,1,25000.0,1,6.75,83.1,0.0,52.2,0,0,5.5,1.96,1.86,1.86,3,4,2,0.0
85.0,19.2,1,25000.0,1,2.8,80.8,2.0,11.7,0,0,8.2,3.0,3.11,3.11,3,0,0,0.0
86.0,19.9,1,25000.0,1,4.37,83.7,0.0,16.3,0,0,7.4,3.03,2.94,2.94,1,3,2,0.0
87.0,23.0,0,25000.0,1,2.46,100.0,1.0,32.8,0,1,4.3,3.12,3.19,3.2,2,0,2,0.0
88.0,21.7,0,25000.0,1,4.79,79.2,3.0,43.5,1,0,7.4,1.22,1.44,1.42,3,2,2,1.0
89.0,19.8,1,29740.5,1,4.0,81.9,0.0,33.7,0,0,5.5,2.96,2.79,2.7,2,0,1,1.0
90.0,22.1,0,32176.0,1,1.49,75.1,1.0,22.7,0,0,3.6,2.96,2.94,2.94,0,4,0,0.0
91.0,21.2,1,39933.0,1,4.35,66.8,1.0,35.0,0,0,7.8,2.37,2.7,2.64,2,0,1,0.0
92.0,23.1,1,33807.0,0,3.74,84.1,0.0,36.2,1,0,4.2,0.75,0.64,0.67,3,1,1,1.0
93.0,19.5,1,29740.5,0,4.0,91.1,3.0,21.8,0,0,5.5,3.54,3.8,3.8,0,2,1,0.0
94.0,20.3,0,50359.0,1,3.62,100.0,0.0,39.9,0,0,4.8,3.28,3.68,3.63,2,1,1,0.0
95.0,20.1,1,25000.0,1,6.68,80.5,3.0,29.6,0,1,9.2,0.32,0.01,0.01,0,0,1,0.0
96.0,17.8,0,25000.0,1,4.75,79.9,0.0,9.0,0,0,3.8,0.31,0.4,0.43,3,2,2,1.0
97.0,21.7,0,29740.5,1,4.0,74.5,0.0,28.4,1,0,5.5,1.52,1.5,1.5,3,2,0,0.0
98.0,21.6,0,29331.0,0,3.57,95.7,4.0,23.2,0,0,4.9,2.78,2.59,2.62,1,1,3,0.0
99.0,21.0,0,25000.0,1,1.48,72.1,2.0,45.7,0,1,6.4,1.86,2.13,2.13,0,3,3,0.0
100.0,20.5,0,51391.0,1,2.6,87.3,0.0,14.1,1,1,5.4,1.29,1.4,1.4,1,2,1,0.0
102.0,20.1,1,29740.5,1,4.0,80.0,2.0,33.1,1,1,5.5,2.3,2.29,2.3,2,4,1,0.0
103.0,20.2,0,31276.0,1,4.59,72.7,1.0,59.0,1,0,7.9,2.1,2.3,2.3,0,3,0,0.0
104.0,19.2,0,49497.0,1,4.51,88.3,2.0,53.5,0,1,2.6,3.2,3.28,3.24,3,1,0,0.0
105.0,20.6,1,25000.0,1,5.84,71.2,2.0,29.5,0,0,4.3,1.92,1.95,1.92,3,4,0,0.0
106.0,21.9,1,30245.0,1,4.42,91.5,0.0,34.2,1,0,6.4,1.36,1.01,1.01,0,0,0,0.0
107.0,25.1,1,29740.5,1,4.0,97.9,4.0,37.2,1,1,5.5,3.55,3.36,3.36,0,3,2,1.0
108.0,21.4,1,29740.5,1,4.0,63.0,3.0,17.9,1,0,5.5,1.82,1.72,1.66,1,3,1,1.0
109.0,21.6,1,29740.5,0,4.0,95.3,1.0,30.1,0,0,5.5,1.35,1.44,1.55,1,4,0,0.0
110.0,20.8,0,26596.0,1,3.64,87.1,2.0,46.3,0,0,6.6,1.59,1.43,1.43,1,1,0,0.0
111.0,17.0,0,28669.0,0,6.21,93.1,0.0,31.7,0,1,6.4,3.82,4.0,4.0,0,1,0,0.0
112.0,20.9,1,25000.0,0,2.63,76.8,1.0,53.4,1,0,6.8,0.96,1.19,1.19,0,1,0,1.0
114.0,26.4,0,25000.0,1,1.63,83.9,2.0,28.9,0,0,4.9,1.34,2.12,2.13,1,0,1,1.0
115.0,20.6,1,25000.0,1,5.31,75.7,1.0,29.0,1,0,7.2,1.81,1.49,1.49,3,1,1,0.0
116.0,21.7,1,28108.0,1,4.45,79.2,3.0,14.4,0,1,4.6,3.06,2.83,2.83,0,1,0,0.0
117.0,20.9,0,51263.0,1,6.26,86.6,0.0,43.3,0,1,5.2,2.45,2.48,2.48,3,2,1,0.0
118.0,18.4,0,30045.0,0,3.17,73.0,2.0,26.0,1,0,2.5,3.4,2.71,2.69,3,4,2,0.0
119.0,23.5,1,39789.0,1,2.97,72.4,2.0,33.1,1,1,4.6,2.9,2.99,2.96,2,4,0,0.0
122.0,19.0,1,41649.0,1,3.54,84.3,4.0,44.8,0,0,7.2,2.54,2.61,2.67,1,3,0,1.0
123.0,24.1,1,55749.0,1,4.39,77.9,0.0,30.7,0,0,4.7,0.0,0.0,0.0,3,0,0,0.0
124.0,17.9,1,37016.0,1,3.45,92.2,1.0,15.3,1,0,4.8,1.42,1.18,1.18,0,2,0,0.0
125.0,22.3,0,48773.0,1,5.87,70.4,2.0,38.9,0,0,4.5,1.96,1.85,1.87,3,0,1,1.0
126.0,25.8,0,25000.0,1,5.64,86.1,3.0,43.0,1,0,5.9,3.4,3.39,3.41,3,4,2,0.0
127.0,18.8,1,25000.0,1,4.11,79.1,1.0,18.9,1,0,8.3,2.14,1.9,1.92,1,2,2,0.0
128.0,19.8,0,66695.0,1,5.37,81.2,0.0,28.3,0,0,1.3,3.86,4.0,4.0,0,4,0,0.0
130.0,19.9,1,25000.0,1,3.94,60.9,2.0,43.0,0,0,4.9,1.89,1.9,1.92,2,0,1,1.0
131.0,17.6,0,34539.0,1,1.19,64.9,1.0,28.2,0,0,1.7,1.94,1.85,1.93,2,1,0,0.0
132.0,21.2,1,25000.0,1,4.66,81.5,2.0,41.5,0,0,5.3,1.7,1.5,1.5,3,2,0,0.0
133.0,18.7,0,25000.0,1,4.03,80.2,2.0,20.7,0,1,4.9,2.3,2.28,2.28,0,0,1,0.0
134.0,22.0,1,35274.0,1,5.14,70.6,3.0,17.3,0,0,4.7,2.45,2.56,2.56,0,3,1,0.0
135.0,19.0,0,58958.0,1,4.93,98.0,1.0,52.0,0,0,3.5,2.8,2.78,2.72,3,4,2,0.0
136.0,24.4,1,38988.0,1,3.03,72.7,1.0,14.3,1,1,5.3,1.89,1.78,1.79,2,3,2,0.0
137.0,19.3,0,25000.0,1,3.75,77.7,2.0,21.0,1,0,3.4,2.18,2.3,2.29,2,2,3,0.0
138.0,20.3,0,40494.0,0,3.38,91.2,2.0,39.4,0,1,4.0,1.9,1.89,1.88,1,2,0,0.0
139.0,22.8,1,25000.0,1,5.36,76.6,3.0,23.6,0,0,5.1,3.36,3.88,3.95,2,0,0,0.0
140.0,18.3,1,38073.0,1,6.05,75.1,1.0,23.3,0,0,7.3,1.17,0.89,1.01,2,1,1,0.0
141.0,21.5,1,68726.0,1,5.04,85.1,1.0,27.6,1,0,6.2,0.72,0.87,0.83,2,2,0,1.0
142.0,23.9,0,25000.0,0,6.58,76.1,1.0,5.0,0,0,6.6,3.6,3.93,3.93,0,2,0,0.0
143.0,17.5,1,47971.0,1,4.68,85.2,2.0,43.4,0,0,9.0,3.09,3.01,2.96,1,4,0,0.0
144.0,21.4,0,25000.0,1,2.73,86.1,1.0,32.1,0,1,6.3,2.39,2.62,2.63,2,1,1,0.0
145.0,21.6,1,62131.0,1,2.2,85.0,4.0,20.3,1,0,3.6,0.9,0.97,0.97,3,0,1,0.0
146.0,22.7,1,25000.0,1,2.8,91.4,3.0,9.4,0,1,4.5,2.11,2.71,2.73,1,3,2,0.0
147.0,18.3,1,25000.0,1,3.41,78.9,1.0,13.6,0,1,4.0,1.81,1.98,1.91,1,1,1,0.0
148.0,18.1,1,45124.0,1,3.12,78.0,0.0,10.9,0,1,5.3,2.68,2.23,2.27,1,3,2,0.0
149.0,22.1,0,36994.0,1,4.07,81.3,3.0,32.7,0,0,4.8,2.89,3.07,3.09,1,4,1,0.0
151.0,21.6,1,25000.0,1,4.1,83.7,0.0,37.3,1,1,7.2,2.21,2.55,2.53,3,2,1,0.0
152.0,21.8,0,26569.0,1,7.17,79.4,2.0,38.8,1,1,7.3,0.92,1.25,1.25,0,1,0,0.0
153.0,19.5,1,25000.0,1,5.14,85.1,1.0,37.5,1,1,5.8,3.84,3.78,3.86,3,3,2,0.0
154.0,21.5,0,25000.0,1,4.35,74.8,1.0,48.5,0,0,3.7,3.68,3.49,3.42,1,0,0,0.0
155.0,21.6,1,31868.0,1,5.38,92.8,4.0,44.3,0,1,5.7,4.0,4.0,4.0,0,1,0,0.0
156.0,19.4,0,25000.0,0,2.95,80.3,2.0,41.5,1,0,4.4,3.72,3.87,3.87,0,1,2,0.0
157.0,25.1,0,38404.0,1,2.9,88.7,1.0,32.8,0,0,7.8,0.63,0.88,0.88,0,1,3,1.0
159.0,18.4,0,27197.0,1,4.0,85.7,2.0,25.1,0,0,6.7,2.34,2.45,2.42,2,3,0,0.0
160.0,22.4,1,32148.0,1,4.16,69.6,0.0,27.3,1,1,6.6,1.7,1.54,1.54,0,1,1,0.0
162.0,22.7,1,25000.0,1,3.38,80.3,1.0,23.3,0,0,5.9,2.79,2.78,2.77,2,1,2,0.0
163.0,23.5,1,60763.0,1,3.47,81.8,1.0,22.4,1,0,4.9,1.29,1.09,1.16,1,2,0,0.0
164.0,19.2,1,56529.0,1,3.37,81.2,1.0,25.7,0,0,9.8,1.17,1.01,1.06,1,1,0,1.0
165.0,23.1,1,49642.0,1,6.79,79.7,3.0,23.4,1,0,3.9,2.11,2.14,2.18,2,4,2,0.0
166.0,21.9,1,64541.0,1,6.76,78.8,2.0,24.4,0,0,6.8,2.74,2.61,2.62,2,2,0,0.0
167.0,22.8,1,35184.0,1,5.48,87.4,1.0,32.9,1,1,5.5,2.56,3.08,3.08,0,0,1,0.0
168.0,25.2,0,25000.0,1,4.13,96.3,0.0,33.3,0,0,6.1,2.24,2.25,2.24,2,3,0,1.0
169.0,20.5,0,57339.0,1,3.24,100.0,2.0,40.9,0,1,6.1,4.0,4.0,4.0,1,0,0,0.0
170.0,19.3,1,58671.0,1,2.65,90.8,1.0,56.3,1,0,3.6,4.0,3.78,3.81,2,0,0,0.0
171.0,19.0,1,57710.0,1,4.44,63.7,0.0,25.6,1,1,3.1,0.91,1.01,0.97,2,4,0,0.0
172.0,19.2,1,30537.0,0,5.66,90.4,0.0,29.2,1,1,3.2,4.0,3.73,3.73,3,3,0,0.0
173.0,20.8,0,25000.0,1,5.01,90.3,3.0,7.9,0,0,4.7,4.0,3.7,3.7,1,2,0,0.0
174.0,21.8,0,33350.0,1,4.13,81.2,1.0,14.5,1,1,5.9,1.01,0.8,0.8,0,3,1,0.0
175.0,21.6,1,52331.0,1,4.87,89.4,2.0,28.2,0,1,4.3,3.97,3.53,3.54,2,3,1,0.0
176.0,22.8,1,54974.0,0,3.98,84.9,1.0,35.6,0,0,2.9,2.24,2.68,2.68,0,4,2,0.0
177.0,21.0,1,25000.0,1,3.64,81.9,0.0,35.9,0,0,7.2,2.22,2.25,2.23,1,1,0,0.0
178.0,24.2,1,35926.0,1,2.68,84.0,4.0,37.4,0,0,2.7,1.21,1.66,1.71,1,1,1,0.0
179.0,20.4,0,25000.0,1,3.57,77.6,1.0,45.1,0,0,6.4,2.34,2.05,1.99,3,1,0,0.0
180.0,27.0,0,53689.0,1,4.39,67.3,2.0,50.5,1,0,4.1,3.47,3.57,3.54,2,1,0,0.0
181.0,22.4,1,25000.0,1,3.46,67.0,6.0,27.1,0,1,7.7,0.02,0.29,0.29,0,3,0,1.0
182.0,19.1,0,47627.0,1,2.51,89.3,5.0,20.4,0,0,4.6,2.01,2.09,2.11,2,4,1,0.0
183.0,18.6,1,25000.0,1,4.15,73.8,1.0,37.9,0,0,2.3,2.55,2.26,2.26,0,0,0,0.0
184.0,22.1,1,55207.0,0,4.39,69.8,2.0,41.2,0,0,5.4,3.18,2.81,2.8,1,1,1,0.0
185.0,20.5,0,36066.0,1,3.52,69.6,3.0,31.6,1,1,4.0,1.87,1.74,1.77,1,4,0,0.0
186.0,22.6,0,25000.0,1,3.97,78.2,0.0,27.9,0,1,7.0,2.61,2.35,2.32,1,3,2,0.0
188.0,20.8,1,25000.0,1,4.96,80.8,1.0,29.5,1,0,4.4,3.54,3.43,3.43,1,2,1,0.0
189.0,19.1,0,46618.0,1,4.37,70.6,2.0,38.3,0,1,3.7,4.0,3.93,4.0,1,0,0,0.0
190.0,17.7,0,25224.0,0,5.84,93.9,1.0,22.0,1,0,3.5,3.77,3.79,3.73,3,3,0,0.0
191.0,20.0,1,25000.0,1,3.72,84.6,1.0,20.4,0,0,4.4,2.45,2.51,2.51,0,1,1,0.0
192.0,22.9,1,25000.0,1,4.95,79.2,1.0,37.2,0,0,8.0,1.96,1.95,2.01,3,1,1,0.0
193.0,21.5,1,25000.0,0,5.53,85.9,3.0,19.8,0,0,5.2,2.93,2.67,2.67,0,2,3,0.0
194.0,18.3,0,67570.0,1,4.03,82.1,0.0,31.8,1,1,7.2,2.08,2.29,2.29,3,2,2,0.0
195.0,21.4,0,51056.0,1,4.45,76.3,1.0,31.2,1,0,2.8,2.71,2.94,2.97,2,4,1,0.0
198.0,21.3,0,25000.0,1,4.5,78.2,3.0,50.8,1,1,6.7,0.51,0.22,0.19,3,1,1,1.0
199.0,21.1,1,26553.0,0,2.78,89.4,0.0,34.8,0,0,5.0,2.63,3.2,3.24,2,0,1,0.0
200.0,18.5,1,25000.0,1,2.88,89.2,0.0,23.8,1,0,7.1,1.1,1.4,1.4,0,0,1,0.0
201.0,21.8,0,25000.0,1,4.68,80.6,2.0,34.0,0,0,7.8,1.81,2.04,2.15,1,3,2,0.0
202.0,22.2,0,25000.0,1,5.68,80.7,3.0,52.0,1,0,3.8,2.0,2.07,2.07,0,4,2,1.0
203.0,23.4,0,29471.0,1,5.02,73.7,1.0,31.1,0,0,7.0,2.12,2.07,2.07,0,4,0,0.0
204.0,23.3,0,25000.0,1,4.76,85.2,1.0,48.4,1,1,8.0,3.14,2.85,2.97,2,0,0,0.0
205.0,18.0,1,29129.0,0,4.44,70.9,4.0,16.2,0,0,7.4,2.38,2.25,2.25,0,2,1,0.0
207.0,22.1,0,25000.0,0,6.19,85.3,2.0,5.0,0,1,2.2,4.0,3.81,3.82,1,0,1,0.0
208.0,22.1,1,33418.0,1,3.25,79.9,2.0,53.7,0,0,4.7,1.84,2.04,2.01,3,1,2,0.0
209.0,22.1,0,51225.0,1,3.29,85.5,0.0,9.6,1,0,4.8,1.59,1.56,1.56,0,0,1,0.0
211.0,22.3,0,35436.0,1,1.78,83.5,1.0,50.9,0,0,3.8,2.86,2.69,2.73,1,3,2,0.0
212.0,23.5,1,25000.0,1,3.87,83.7,1.0,41.7,0,0,6.2,1.51,1.37,1.29,1,3,2,0.0
213.0,23.1,0,25871.0,1,4.34,91.3,2.0,34.5,0,1,3.6,3.78,3.79,3.81,3,0,0,0.0
214.0,22.4,0,25000.0,0,3.29,85.9,2.0,45.4,0,0,6.1,1.57,1.48,1.5,1,0,0,1.0
215.0,20.3,0,49396.0,1,1.51,90.4,1.0,22.0,1,1,4.7,1.74,2.44,2.44,0,0,1,1.0
216.0,22.7,1,25000.0,1,5.8,85.1,5.0,36.2,0,1,6.1,4.0,4.0,4.0,3,4,2,0.0
217.0,19.3,1,53245.0,1,3.22,81.5,0.0,28.6,1,1,4.8,2.1,2.22,2.23,2,0,0,0.0
218.0,20.5,1,25000.0,1,3.28,86.1,1.0,28.4,1,0,1.5,3.29,3.33,3.33,0,3,3,0.0
219.0,19.9,1,52974.0,1,5.73,84.8,2.0,32.3,1,0,6.4,1.88,1.72,1.72,0,3,0,0.0
221.0,26.1,0,25000.0,1,5.96,70.7,3.0,48.8,1,0,4.0,2.38,1.77,1.77,0,0,0,0.0
222.0,17.0,0,42091.0,0,6.89,77.8,3.0,26.8,1,0,7.0,3.04,3.42,3.46,2,3,1,0.0
223.0,22.5,0,51910.0,1,2.84,77.8,0.0,16.9,1,0,4.4,2.3,2.39,2.43,3,2,0,0.0
224.0,17.5,0,25000.0,1,3.36,86.4,1.0,20.2,1,1,3.1,2.88,2.8,2.8,0,2,1,0.0
225.0,20.0,1,45815.0,1,4.63,81.5,2.0,53.4,0,1,4.4,3.35,4.0,4.0,0,0,0,0.0
226.0,23.4,0,25000.0,1,4.33,75.5,2.0,47.8,0,1,5.2,2.13,2.61,2.55,2,2,2,1.0
227.0,21.1,1,25000.0,1,5.28,80.7,1.0,16.9,0,1,3.1,4.0,3.6,3.7,3,1,0,0.0
228.0,18.6,1,64566.0,1,4.65,79.4,1.0,49.9,0,1,7.9,3.76,3.78,3.86,3,4,0,0.0
229.0,19.4,1,25999.0,1,5.08,74.6,0.0,21.5,0,0,2.7,4.0,3.81,3.86,1,1,1,0.0
231.0,19.4,0,25000.0,1,1.93,80.5,2.0,21.5,1,0,3.8,2.63,2.81,2.81,0,0,1,0.0
232.0,21.5,1,25000.0,1,5.75,75.7,3.0,56.0,0,0,7.9,2.5,2.64,2.68,1,1,1,0.0
233.0,21.1,0,26915.0,1,5.92,68.7,0.0,23.2,0,0,2.8,2.88,3.07,3.07,3,3,2,0.0
234.0,19.6,1,25000.0,1,2.57,82.7,0.0,17.4,0,0,7.0,0.86,0.8,0.78,1,3,2,0.0
235.0,25.7,1,33102.0,1,2.96,86.1,4.0,24.5,1,0,5.9,2.4,2.01,1.98,2,3,0,0.0
236.0,22.4,0,28519.0,1,4.65,76.8,2.0,61.5,0,0,3.3,4.0,4.0,4.0,0,2,2,0.0
237.0,17.0,0,67228.0,1,2.38,83.1,0.0,33.1,1,0,4.9,1.84,2.04,2.09,2,1,2,1.0
238.0,21.4,0,38358.0,1,3.2,73.3,2.0,17.7,1,0,5.2,1.77,1.79,1.83,1,1,0,1.0
239.0,19.5,0,39128.0,0,4.31,80.2,0.0,20.5,0,0,6.6,2.82,2.65,2.65,2,1,0,0.0
